Fecha,Demanda
2021-01-04,24.0
2021-01-11,0.0
2021-01-18,0.0
2021-01-25,48.0
2021-02-01,0.0
2021-02-08,104.0
2021-02-15,54.0
2021-02-22,313.0
2021-03-01,0.0
2021-03-08,469.0
2021-03-15,6.0
2021-03-22,672.0
2021-03-29,1783.0
2021-04-05,679.0
2021-04-12,12.0
2021-04-19,1527.0
2021-04-26,1203.0
2021-05-03,12.0
2021-05-10,854.0
2021-05-17,1024.0
2021-05-24,504.0
2021-05-31,822.0
2021-06-07,1240.0
2021-06-14,66.0
2021-06-21,2228.0
2021-06-28,0.0
2021-07-05,1698.0
2021-07-12,18.0
2021-07-19,2064.0
2021-07-26,12.0
2021-08-02,0.0
2021-08-09,1068.0
2021-08-16,1008.0
2021-08-23,1308.0
2021-08-30,12.0
2021-09-06,0.0
2021-09-13,456.0
2021-09-20,468.0
2021-09-27,552.0
2021-10-04,396.0
2021-10-11,684.0
2021-10-18,240.0
2021-10-25,876.0
2021-11-01,132.0
2021-11-08,684.0
2021-11-15,348.0
2021-11-22,576.0
2021-11-29,336.0
2021-12-06,288.0
2021-12-13,348.0
2021-12-20,528.0
2021-12-27,936.0
2022-01-03,0.0
2022-01-10,384.0
2022-01-17,348.0
2022-01-24,132.0
2022-01-31,168.0
2022-02-07,336.0
2022-02-14,528.0
2022-02-21,396.0
2022-02-28,420.0
2022-03-07,384.0
2022-03-14,504.0
2022-03-21,648.0
2022-03-28,1116.0
2022-04-04,516.0
2022-04-11,12.0
2022-04-18,888.0
2022-04-25,780.0
2022-05-02,864.0
2022-05-09,1476.0
2022-05-16,0.0
2022-05-23,1032.0
2022-05-30,876.0
2022-06-06,672.0
2022-06-13,1032.0
2022-06-20,1704.0
2022-06-27,1056.0
2022-07-04,996.0
2022-07-11,456.0
2022-07-18,756.0
2022-07-25,780.0
2022-08-01,660.0
2022-08-08,960.0
2022-08-15,1068.0
2022-08-22,1236.0
2022-08-29,768.0
2022-09-05,12.0
2022-09-12,828.0
2022-09-19,864.0
2022-09-26,696.0
2022-10-03,912.0
2022-10-10,864.0
2022-10-17,696.0
2022-10-24,636.0
2022-10-31,240.0
2022-11-07,960.0
2022-11-14,660.0
2022-11-21,624.0
2022-11-28,504.0
2022-12-05,216.0
2022-12-12,888.0
2022-12-19,408.0
2022-12-26,1068.0
2023-01-02,36.0
2023-01-09,36.0
2023-01-16,252.0
2023-01-23,1200.0
2023-01-30,36.0
2023-02-06,0.0
2023-02-13,168.0
2023-02-20,456.0
2023-02-27,480.0
2023-03-06,540.0
2023-03-13,600.0
2023-03-20,240.0
2023-03-27,876.0
2023-04-03,0.0
2023-04-10,720.0
2023-04-17,756.0
2023-04-24,936.0
2023-05-01,360.0
2023-05-08,792.0
2023-05-15,1212.0
2023-05-22,1032.0
2023-05-29,1020.0
2023-06-05,876.0
2023-06-12,1128.0
2023-06-19,1416.0
2023-06-26,1080.0
2023-07-03,1344.0
2023-07-10,12.0
2023-07-17,1116.0
2023-07-24,1224.0
2023-07-31,1260.0
2023-08-07,1008.0
2023-08-14,888.0
2023-08-21,1248.0
2023-08-28,1092.0
2023-09-04,1632.0
2023-09-11,0.0
2023-09-18,719.0
2023-09-25,672.0
2023-10-02,588.0
2023-10-09,1032.0
2023-10-16,744.0
2023-10-23,960.0
2023-10-30,408.0
2023-11-06,636.0
2023-11-13,540.0
2023-11-20,504.0
2023-11-27,912.0
2023-12-04,408.0
2023-12-11,456.0
2023-12-18,780.0
2023-12-25,1764.0
2024-01-01,0.0
2024-01-08,0.0
2024-01-15,312.0
2024-01-22,816.0
2024-01-29,540.0
2024-02-05,480.0
2024-02-12,144.0
2024-02-19,420.0
2024-02-26,948.0
2024-03-04,636.0
2024-03-11,588.0
2024-03-18,432.0
2024-03-25,300.0
2024-04-01,912.0
2024-04-08,1284.0
2024-04-15,528.0
2024-04-22,1356.0
2024-04-29,1920.0
2024-05-06,756.0
2024-05-13,84.0
2024-05-20,1656.0
2024-05-27,1596.0
2024-06-03,888.0
2024-06-10,1812.0
2024-06-17,1404.0
2024-06-24,1584.0
2024-07-01,300.0
2024-07-08,1296.0
2024-07-15,2040.0
2024-07-22,1632.0
2024-07-29,1008.0
2024-08-05,876.0
2024-08-12,1044.0
2024-08-19,756.0
2024-08-26,4140.0
2024-09-02,144.0
2024-09-09,0.0
2024-09-16,1788.0
2024-09-23,120.0
2024-09-30,288.0
2024-10-07,816.0
2024-10-14,804.0
2024-10-21,792.0
2024-10-28,588.0
2024-11-04,780.0
2024-11-11,1128.0
2024-11-18,768.0
2024-11-25,696.0
2024-12-02,636.0
2024-12-09,1068.0
2024-12-16,2208.0
2024-12-23,924.0
2024-12-30,492.0
2025-01-06,96.0
2025-01-13,120.0
2025-01-20,1020.0
2025-01-27,1236.0
2025-02-03,432.0
2025-02-10,516.0
2025-02-17,840.0
2025-02-24,924.0
2025-03-03,360.0
2025-03-10,1032.0
2025-03-17,1032.0
2025-03-24,1200.0
2025-03-31,564.0
2025-04-07,2556.0
2025-04-14,1092.0
2025-04-21,2436.0
2025-04-28,3228.0
2025-05-05,492.0
2025-05-12,252.0
2025-05-19,2388.0
2025-05-26,2388.0
2025-06-02,1356.0
2025-06-09,1775.0
2025-06-16,1896.0
2025-06-23,3360.0
2025-06-30,1776.0
2025-07-07,0.0
2025-07-14,672.0
2025-07-21,2016.0
2025-07-28,1704.0
2025-08-04,1656.0
2025-08-11,576.0
2025-08-18,1944.0
2025-08-25,1872.0
2025-09-01,192.0
2025-09-08,1476.0
2025-09-15,0.0
2025-09-22,0.0
2025-09-29,3132.0
2025-10-06,648.0
2025-10-13,1272.0
2025-10-20,744.0
2025-10-27,1704.0
2025-11-03,1212.0
2025-11-10,1320.0
2025-11-17,132.0
2025-11-24,870.0
2025-12-01,132.0
2025-12-08,888.0
2025-12-15,1914.0
2025-12-22,864.0
2025-12-29,780.0
2026-01-05,84.0
2026-01-12,0.0
2026-01-19,1332.0
2026-01-26,1584.0
2026-02-02,60.0
2026-02-09,0.0
2026-02-16,0.0
2026-02-23,2664.0
